"Gene","Cluster","Driving"
"ENSRNOG00000001199",1,"THC_O3_vs_THC"
"ENSRNOG00000001297",2,"THC_O3_vs_THC"
"ENSRNOG00000007720",1,"THC_O3_vs_THC"
"ENSRNOG00000010031",1,"THC_O3_vs_THC"
"ENSRNOG00000011647",1,"THC_O3_vs_THC"
"ENSRNOG00000014739",1,"THC_O3_vs_THC"
"ENSRNOG00000017306",1,"THC_O3_vs_THC"
"ENSRNOG00000017914",1,"THC_O3_vs_THC"
"ENSRNOG00000018045",1,"THC_O3_vs_THC"
"ENSRNOG00000025909",1,"THC_O3_vs_THC"
"ENSRNOG00000027770",2,"THC_O3_vs_THC"
"ENSRNOG00000029598",1,"THC_O3_vs_THC"
"ENSRNOG00000036802",3,"THC_O3_vs_THC"
"ENSRNOG00000037214",2,"THC_O3_vs_THC"
"ENSRNOG00000037688",2,"THC_O3_vs_THC"
"ENSRNOG00000056672",1,"THC_O3_vs_THC"
"ENSRNOG00000057389",1,"THC_O3_vs_THC"
"ENSRNOG00000000042",3,"THC_O3_vs_VEH"
"ENSRNOG00000000048",2,"THC_O3_vs_VEH"
"ENSRNOG00000000111",1,"THC_O3_vs_VEH"
"ENSRNOG00000000145",3,"THC_O3_vs_VEH"
"ENSRNOG00000000155",2,"THC_O3_vs_VEH"
"ENSRNOG00000000165",1,"THC_O3_vs_VEH"
"ENSRNOG00000000190",3,"THC_O3_vs_VEH"
"ENSRNOG00000000250",1,"THC_O3_vs_VEH"
"ENSRNOG00000000262",1,"THC_O3_vs_VEH"
"ENSRNOG00000000299",3,"THC_O3_vs_VEH"
"ENSRNOG00000000415",1,"THC_O3_vs_VEH"
"ENSRNOG00000000417",2,"THC_O3_vs_VEH"
"ENSRNOG00000000420",1,"THC_O3_vs_VEH"
"ENSRNOG00000000422",1,"THC_O3_vs_VEH"
"ENSRNOG00000000437",1,"THC_O3_vs_VEH"
"ENSRNOG00000000441",1,"THC_O3_vs_VEH"
"ENSRNOG00000000451",1,"THC_O3_vs_VEH"
"ENSRNOG00000000473",1,"THC_O3_vs_VEH"
"ENSRNOG00000000517",2,"THC_O3_vs_VEH"
"ENSRNOG00000000579",1,"THC_O3_vs_VEH"
"ENSRNOG00000000587",1,"THC_O3_vs_VEH"
"ENSRNOG00000000632",1,"THC_O3_vs_VEH"
"ENSRNOG00000000635",3,"THC_O3_vs_VEH"
"ENSRNOG00000000692",1,"THC_O3_vs_VEH"
"ENSRNOG00000000779",1,"THC_O3_vs_VEH"
"ENSRNOG00000000786",1,"THC_O3_vs_VEH"
"ENSRNOG00000000796",2,"THC_O3_vs_VEH"
"ENSRNOG00000000804",1,"THC_O3_vs_VEH"
"ENSRNOG00000000847",1,"THC_O3_vs_VEH"
"ENSRNOG00000000848",1,"THC_O3_vs_VEH"
"ENSRNOG00000000926",1,"THC_O3_vs_VEH"
"ENSRNOG00000000942",3,"THC_O3_vs_VEH"
"ENSRNOG00000000983",1,"THC_O3_vs_VEH"
"ENSRNOG00000000988",1,"THC_O3_vs_VEH"
"ENSRNOG00000000989",1,"THC_O3_vs_VEH"
"ENSRNOG00000000990",1,"THC_O3_vs_VEH"
"ENSRNOG00000001005",1,"THC_O3_vs_VEH"
"ENSRNOG00000001009",1,"THC_O3_vs_VEH"
"ENSRNOG00000001052",3,"THC_O3_vs_VEH"
"ENSRNOG00000001064",2,"THC_O3_vs_VEH"
"ENSRNOG00000001080",1,"THC_O3_vs_VEH"
"ENSRNOG00000001107",2,"THC_O3_vs_VEH"
"ENSRNOG00000001117",3,"THC_O3_vs_VEH"
"ENSRNOG00000001182",1,"THC_O3_vs_VEH"
"ENSRNOG00000001192",1,"THC_O3_vs_VEH"
"ENSRNOG00000001215",1,"THC_O3_vs_VEH"
"ENSRNOG00000001225",1,"THC_O3_vs_VEH"
"ENSRNOG00000001252",1,"THC_O3_vs_VEH"
"ENSRNOG00000001272",2,"THC_O3_vs_VEH"
"ENSRNOG00000001410",3,"THC_O3_vs_VEH"
"ENSRNOG00000001415",1,"THC_O3_vs_VEH"
"ENSRNOG00000001418",1,"THC_O3_vs_VEH"
"ENSRNOG00000001420",1,"THC_O3_vs_VEH"
"ENSRNOG00000001424",2,"THC_O3_vs_VEH"
"ENSRNOG00000001440",1,"THC_O3_vs_VEH"
"ENSRNOG00000001441",1,"THC_O3_vs_VEH"
"ENSRNOG00000001450",1,"THC_O3_vs_VEH"
"ENSRNOG00000001482",2,"THC_O3_vs_VEH"
"ENSRNOG00000001484",3,"THC_O3_vs_VEH"
"ENSRNOG00000001551",1,"THC_O3_vs_VEH"
"ENSRNOG00000001582",3,"THC_O3_vs_VEH"
"ENSRNOG00000001621",3,"THC_O3_vs_VEH"
"ENSRNOG00000001632",2,"THC_O3_vs_VEH"
"ENSRNOG00000001642",2,"THC_O3_vs_VEH"
"ENSRNOG00000001643",1,"THC_O3_vs_VEH"
"ENSRNOG00000001682",3,"THC_O3_vs_VEH"
"ENSRNOG00000001686",3,"THC_O3_vs_VEH"
"ENSRNOG00000001738",3,"THC_O3_vs_VEH"
"ENSRNOG00000001747",3,"THC_O3_vs_VEH"
"ENSRNOG00000001766",3,"THC_O3_vs_VEH"
"ENSRNOG00000001767",3,"THC_O3_vs_VEH"
"ENSRNOG00000001774",3,"THC_O3_vs_VEH"
"ENSRNOG00000001785",1,"THC_O3_vs_VEH"
"ENSRNOG00000001793",3,"THC_O3_vs_VEH"
"ENSRNOG00000001804",3,"THC_O3_vs_VEH"
"ENSRNOG00000001813",2,"THC_O3_vs_VEH"
"ENSRNOG00000001849",2,"THC_O3_vs_VEH"
"ENSRNOG00000001868",2,"THC_O3_vs_VEH"
"ENSRNOG00000001880",1,"THC_O3_vs_VEH"
"ENSRNOG00000001885",2,"THC_O3_vs_VEH"
"ENSRNOG00000001956",3,"THC_O3_vs_VEH"
"ENSRNOG00000001992",2,"THC_O3_vs_VEH"
"ENSRNOG00000002021",2,"THC_O3_vs_VEH"
"ENSRNOG00000002036",2,"THC_O3_vs_VEH"
"ENSRNOG00000002050",1,"THC_O3_vs_VEH"
"ENSRNOG00000002051",2,"THC_O3_vs_VEH"
"ENSRNOG00000002080",2,"THC_O3_vs_VEH"
"ENSRNOG00000002091",2,"THC_O3_vs_VEH"
"ENSRNOG00000002101",2,"THC_O3_vs_VEH"
"ENSRNOG00000002115",1,"THC_O3_vs_VEH"
"ENSRNOG00000002186",1,"THC_O3_vs_VEH"
"ENSRNOG00000002246",2,"THC_O3_vs_VEH"
"ENSRNOG00000002254",2,"THC_O3_vs_VEH"
"ENSRNOG00000002276",3,"THC_O3_vs_VEH"
"ENSRNOG00000002294",3,"THC_O3_vs_VEH"
"ENSRNOG00000002312",3,"THC_O3_vs_VEH"
"ENSRNOG00000002332",2,"THC_O3_vs_VEH"
"ENSRNOG00000002376",3,"THC_O3_vs_VEH"
"ENSRNOG00000002393",2,"THC_O3_vs_VEH"
"ENSRNOG00000002403",3,"THC_O3_vs_VEH"
"ENSRNOG00000002408",3,"THC_O3_vs_VEH"
"ENSRNOG00000002443",3,"THC_O3_vs_VEH"
"ENSRNOG00000002450",1,"THC_O3_vs_VEH"
"ENSRNOG00000002473",2,"THC_O3_vs_VEH"
"ENSRNOG00000002537",3,"THC_O3_vs_VEH"
"ENSRNOG00000002556",2,"THC_O3_vs_VEH"
"ENSRNOG00000002568",1,"THC_O3_vs_VEH"
"ENSRNOG00000002693",1,"THC_O3_vs_VEH"
"ENSRNOG00000002705",2,"THC_O3_vs_VEH"
"ENSRNOG00000002710",2,"THC_O3_vs_VEH"
"ENSRNOG00000002735",2,"THC_O3_vs_VEH"
"ENSRNOG00000002736",2,"THC_O3_vs_VEH"
"ENSRNOG00000002824",3,"THC_O3_vs_VEH"
"ENSRNOG00000002862",3,"THC_O3_vs_VEH"
"ENSRNOG00000002871",2,"THC_O3_vs_VEH"
"ENSRNOG00000002895",1,"THC_O3_vs_VEH"
"ENSRNOG00000002912",2,"THC_O3_vs_VEH"
"ENSRNOG00000002928",1,"THC_O3_vs_VEH"
"ENSRNOG00000002948",2,"THC_O3_vs_VEH"
"ENSRNOG00000002991",2,"THC_O3_vs_VEH"
"ENSRNOG00000003011",1,"THC_O3_vs_VEH"
"ENSRNOG00000003038",2,"THC_O3_vs_VEH"
"ENSRNOG00000003134",3,"THC_O3_vs_VEH"
"ENSRNOG00000003189",1,"THC_O3_vs_VEH"
"ENSRNOG00000003300",1,"THC_O3_vs_VEH"
"ENSRNOG00000003310",2,"THC_O3_vs_VEH"
"ENSRNOG00000003399",2,"THC_O3_vs_VEH"
"ENSRNOG00000003407",2,"THC_O3_vs_VEH"
"ENSRNOG00000003434",3,"THC_O3_vs_VEH"
"ENSRNOG00000003495",2,"THC_O3_vs_VEH"
"ENSRNOG00000003520",1,"THC_O3_vs_VEH"
"ENSRNOG00000003541",2,"THC_O3_vs_VEH"
"ENSRNOG00000003554",2,"THC_O3_vs_VEH"
"ENSRNOG00000003576",3,"THC_O3_vs_VEH"
"ENSRNOG00000003626",1,"THC_O3_vs_VEH"
"ENSRNOG00000003699",1,"THC_O3_vs_VEH"
"ENSRNOG00000003724",1,"THC_O3_vs_VEH"
"ENSRNOG00000003772",1,"THC_O3_vs_VEH"
"ENSRNOG00000003773",1,"THC_O3_vs_VEH"
"ENSRNOG00000003794",1,"THC_O3_vs_VEH"
"ENSRNOG00000003795",2,"THC_O3_vs_VEH"
"ENSRNOG00000003797",1,"THC_O3_vs_VEH"
"ENSRNOG00000003802",1,"THC_O3_vs_VEH"
"ENSRNOG00000003803",2,"THC_O3_vs_VEH"
"ENSRNOG00000003812",2,"THC_O3_vs_VEH"
"ENSRNOG00000003844",2,"THC_O3_vs_VEH"
"ENSRNOG00000003847",1,"THC_O3_vs_VEH"
"ENSRNOG00000003863",1,"THC_O3_vs_VEH"
"ENSRNOG00000003882",3,"THC_O3_vs_VEH"
"ENSRNOG00000003953",2,"THC_O3_vs_VEH"
"ENSRNOG00000003983",1,"THC_O3_vs_VEH"
"ENSRNOG00000003993",3,"THC_O3_vs_VEH"
"ENSRNOG00000004061",3,"THC_O3_vs_VEH"
"ENSRNOG00000004085",2,"THC_O3_vs_VEH"
"ENSRNOG00000004089",3,"THC_O3_vs_VEH"
"ENSRNOG00000004135",1,"THC_O3_vs_VEH"
"ENSRNOG00000004185",2,"THC_O3_vs_VEH"
"ENSRNOG00000004196",1,"THC_O3_vs_VEH"
"ENSRNOG00000004198",3,"THC_O3_vs_VEH"
"ENSRNOG00000004218",2,"THC_O3_vs_VEH"
"ENSRNOG00000004245",1,"THC_O3_vs_VEH"
"ENSRNOG00000004246",1,"THC_O3_vs_VEH"
"ENSRNOG00000004263",2,"THC_O3_vs_VEH"
"ENSRNOG00000004300",2,"THC_O3_vs_VEH"
"ENSRNOG00000004305",3,"THC_O3_vs_VEH"
"ENSRNOG00000004387",1,"THC_O3_vs_VEH"
"ENSRNOG00000004415",2,"THC_O3_vs_VEH"
"ENSRNOG00000004423",3,"THC_O3_vs_VEH"
"ENSRNOG00000004426",1,"THC_O3_vs_VEH"
"ENSRNOG00000004458",3,"THC_O3_vs_VEH"
"ENSRNOG00000004471",1,"THC_O3_vs_VEH"
"ENSRNOG00000004500",1,"THC_O3_vs_VEH"
"ENSRNOG00000004519",2,"THC_O3_vs_VEH"
"ENSRNOG00000004521",2,"THC_O3_vs_VEH"
"ENSRNOG00000004608",1,"THC_O3_vs_VEH"
"ENSRNOG00000004621",2,"THC_O3_vs_VEH"
"ENSRNOG00000004657",3,"THC_O3_vs_VEH"
"ENSRNOG00000004681",1,"THC_O3_vs_VEH"
"ENSRNOG00000004696",3,"THC_O3_vs_VEH"
"ENSRNOG00000004709",2,"THC_O3_vs_VEH"
"ENSRNOG00000004723",1,"THC_O3_vs_VEH"
"ENSRNOG00000004735",2,"THC_O3_vs_VEH"
"ENSRNOG00000004741",1,"THC_O3_vs_VEH"
"ENSRNOG00000004753",3,"THC_O3_vs_VEH"
"ENSRNOG00000004806",3,"THC_O3_vs_VEH"
"ENSRNOG00000004814",1,"THC_O3_vs_VEH"
"ENSRNOG00000004831",2,"THC_O3_vs_VEH"
"ENSRNOG00000004904",1,"THC_O3_vs_VEH"
"ENSRNOG00000004909",2,"THC_O3_vs_VEH"
"ENSRNOG00000004947",3,"THC_O3_vs_VEH"
"ENSRNOG00000004978",3,"THC_O3_vs_VEH"
"ENSRNOG00000005033",1,"THC_O3_vs_VEH"
"ENSRNOG00000005043",3,"THC_O3_vs_VEH"
"ENSRNOG00000005070",3,"THC_O3_vs_VEH"
"ENSRNOG00000005135",3,"THC_O3_vs_VEH"
"ENSRNOG00000005165",3,"THC_O3_vs_VEH"
"ENSRNOG00000005184",1,"THC_O3_vs_VEH"
"ENSRNOG00000005191",2,"THC_O3_vs_VEH"
"ENSRNOG00000005260",2,"THC_O3_vs_VEH"
"ENSRNOG00000005276",2,"THC_O3_vs_VEH"
"ENSRNOG00000005289",3,"THC_O3_vs_VEH"
"ENSRNOG00000005292",2,"THC_O3_vs_VEH"
"ENSRNOG00000005374",1,"THC_O3_vs_VEH"
"ENSRNOG00000005377",1,"THC_O3_vs_VEH"
"ENSRNOG00000005470",2,"THC_O3_vs_VEH"
"ENSRNOG00000005472",3,"THC_O3_vs_VEH"
"ENSRNOG00000005486",3,"THC_O3_vs_VEH"
"ENSRNOG00000005512",1,"THC_O3_vs_VEH"
"ENSRNOG00000005528",2,"THC_O3_vs_VEH"
"ENSRNOG00000005556",1,"THC_O3_vs_VEH"
"ENSRNOG00000005606",2,"THC_O3_vs_VEH"
"ENSRNOG00000005668",1,"THC_O3_vs_VEH"
"ENSRNOG00000005724",1,"THC_O3_vs_VEH"
"ENSRNOG00000005765",1,"THC_O3_vs_VEH"
"ENSRNOG00000005783",3,"THC_O3_vs_VEH"
"ENSRNOG00000005877",2,"THC_O3_vs_VEH"
"ENSRNOG00000005904",2,"THC_O3_vs_VEH"
"ENSRNOG00000005923",2,"THC_O3_vs_VEH"
"ENSRNOG00000005933",3,"THC_O3_vs_VEH"
"ENSRNOG00000005988",1,"THC_O3_vs_VEH"
"ENSRNOG00000005996",3,"THC_O3_vs_VEH"
"ENSRNOG00000006004",1,"THC_O3_vs_VEH"
"ENSRNOG00000006028",2,"THC_O3_vs_VEH"
"ENSRNOG00000006069",2,"THC_O3_vs_VEH"
"ENSRNOG00000006087",2,"THC_O3_vs_VEH"
"ENSRNOG00000006112",3,"THC_O3_vs_VEH"
"ENSRNOG00000006178",3,"THC_O3_vs_VEH"
"ENSRNOG00000006185",3,"THC_O3_vs_VEH"
"ENSRNOG00000006241",2,"THC_O3_vs_VEH"
"ENSRNOG00000006244",1,"THC_O3_vs_VEH"
"ENSRNOG00000006283",1,"THC_O3_vs_VEH"
"ENSRNOG00000006298",2,"THC_O3_vs_VEH"
"ENSRNOG00000006306",1,"THC_O3_vs_VEH"
"ENSRNOG00000006334",3,"THC_O3_vs_VEH"
"ENSRNOG00000006338",3,"THC_O3_vs_VEH"
"ENSRNOG00000006378",3,"THC_O3_vs_VEH"
"ENSRNOG00000006444",1,"THC_O3_vs_VEH"
"ENSRNOG00000006500",1,"THC_O3_vs_VEH"
"ENSRNOG00000006515",2,"THC_O3_vs_VEH"
"ENSRNOG00000006559",2,"THC_O3_vs_VEH"
"ENSRNOG00000006628",3,"THC_O3_vs_VEH"
"ENSRNOG00000006644",2,"THC_O3_vs_VEH"
"ENSRNOG00000006718",3,"THC_O3_vs_VEH"
"ENSRNOG00000006796",2,"THC_O3_vs_VEH"
"ENSRNOG00000006816",2,"THC_O3_vs_VEH"
"ENSRNOG00000006830",3,"THC_O3_vs_VEH"
"ENSRNOG00000006832",2,"THC_O3_vs_VEH"
"ENSRNOG00000006870",2,"THC_O3_vs_VEH"
"ENSRNOG00000006893",3,"THC_O3_vs_VEH"
"ENSRNOG00000006905",2,"THC_O3_vs_VEH"
"ENSRNOG00000006913",1,"THC_O3_vs_VEH"
"ENSRNOG00000006921",3,"THC_O3_vs_VEH"
"ENSRNOG00000006952",3,"THC_O3_vs_VEH"
"ENSRNOG00000006967",3,"THC_O3_vs_VEH"
"ENSRNOG00000006976",1,"THC_O3_vs_VEH"
"ENSRNOG00000006980",2,"THC_O3_vs_VEH"
"ENSRNOG00000006987",3,"THC_O3_vs_VEH"
"ENSRNOG00000007040",1,"THC_O3_vs_VEH"
"ENSRNOG00000007044",3,"THC_O3_vs_VEH"
"ENSRNOG00000007054",3,"THC_O3_vs_VEH"
"ENSRNOG00000007088",2,"THC_O3_vs_VEH"
"ENSRNOG00000007099",2,"THC_O3_vs_VEH"
"ENSRNOG00000007104",3,"THC_O3_vs_VEH"
"ENSRNOG00000007115",3,"THC_O3_vs_VEH"
"ENSRNOG00000007174",1,"THC_O3_vs_VEH"
"ENSRNOG00000007175",2,"THC_O3_vs_VEH"
"ENSRNOG00000007213",1,"THC_O3_vs_VEH"
"ENSRNOG00000007224",3,"THC_O3_vs_VEH"
"ENSRNOG00000007235",1,"THC_O3_vs_VEH"
"ENSRNOG00000007241",2,"THC_O3_vs_VEH"
"ENSRNOG00000007242",3,"THC_O3_vs_VEH"
"ENSRNOG00000007246",3,"THC_O3_vs_VEH"
"ENSRNOG00000007304",2,"THC_O3_vs_VEH"
"ENSRNOG00000007315",3,"THC_O3_vs_VEH"
"ENSRNOG00000007440",3,"THC_O3_vs_VEH"
"ENSRNOG00000007518",2,"THC_O3_vs_VEH"
"ENSRNOG00000007548",2,"THC_O3_vs_VEH"
"ENSRNOG00000007583",3,"THC_O3_vs_VEH"
"ENSRNOG00000007648",1,"THC_O3_vs_VEH"
"ENSRNOG00000007678",2,"THC_O3_vs_VEH"
"ENSRNOG00000007756",1,"THC_O3_vs_VEH"
"ENSRNOG00000007766",1,"THC_O3_vs_VEH"
"ENSRNOG00000007784",1,"THC_O3_vs_VEH"
"ENSRNOG00000007792",2,"THC_O3_vs_VEH"
"ENSRNOG00000007806",1,"THC_O3_vs_VEH"
"ENSRNOG00000007827",1,"THC_O3_vs_VEH"
"ENSRNOG00000007831",2,"THC_O3_vs_VEH"
"ENSRNOG00000007842",1,"THC_O3_vs_VEH"
"ENSRNOG00000007845",1,"THC_O3_vs_VEH"
"ENSRNOG00000007849",1,"THC_O3_vs_VEH"
"ENSRNOG00000007883",1,"THC_O3_vs_VEH"
"ENSRNOG00000007900",1,"THC_O3_vs_VEH"
"ENSRNOG00000007920",1,"THC_O3_vs_VEH"
"ENSRNOG00000007956",3,"THC_O3_vs_VEH"
"ENSRNOG00000007964",3,"THC_O3_vs_VEH"
"ENSRNOG00000007975",3,"THC_O3_vs_VEH"
"ENSRNOG00000007984",3,"THC_O3_vs_VEH"
"ENSRNOG00000008036",3,"THC_O3_vs_VEH"
"ENSRNOG00000008039",2,"THC_O3_vs_VEH"
"ENSRNOG00000008049",1,"THC_O3_vs_VEH"
"ENSRNOG00000008051",2,"THC_O3_vs_VEH"
"ENSRNOG00000008212",1,"THC_O3_vs_VEH"
"ENSRNOG00000008274",2,"THC_O3_vs_VEH"
"ENSRNOG00000008296",1,"THC_O3_vs_VEH"
"ENSRNOG00000008298",2,"THC_O3_vs_VEH"
"ENSRNOG00000008301",1,"THC_O3_vs_VEH"
"ENSRNOG00000008331",3,"THC_O3_vs_VEH"
"ENSRNOG00000008354",3,"THC_O3_vs_VEH"
"ENSRNOG00000008378",1,"THC_O3_vs_VEH"
"ENSRNOG00000008382",3,"THC_O3_vs_VEH"
"ENSRNOG00000008424",2,"THC_O3_vs_VEH"
"ENSRNOG00000008455",2,"THC_O3_vs_VEH"
"ENSRNOG00000008459",1,"THC_O3_vs_VEH"
"ENSRNOG00000008471",3,"THC_O3_vs_VEH"
"ENSRNOG00000008510",3,"THC_O3_vs_VEH"
"ENSRNOG00000008553",3,"THC_O3_vs_VEH"
