"Gene","Driving_Comparison","LFC"
"ENSRNOG00000000042","THC_O3_vs_VEH",1.82099989930462
"ENSRNOG00000000048","THC_O3_vs_VEH",0.483930717489037
"ENSRNOG00000000064","VEH_O3_vs_VEH",-0.732437736609333
"ENSRNOG00000000111","THC_O3_vs_VEH",-0.755236414577407
"ENSRNOG00000000127","VEH_O3_vs_VEH",0.521852945537563
"ENSRNOG00000000133","THC_vs_VEH",0.472130644923353
"ENSRNOG00000000145","THC_O3_vs_VEH",1.57779463634597
"ENSRNOG00000000155","THC_O3_vs_VEH",0.777004058618945
"ENSRNOG00000000165","THC_O3_vs_VEH",-0.418197376541599
"ENSRNOG00000000190","THC_O3_vs_VEH",1.5856647329719
"ENSRNOG00000000199","VEH_O3_vs_VEH",-1.0659573301654
"ENSRNOG00000000250","THC_O3_vs_VEH",-0.386883305211726
"ENSRNOG00000000262","THC_O3_vs_VEH",-0.397825672431792
"ENSRNOG00000000299","THC_O3_vs_VEH",1.46401241286549
"ENSRNOG00000000415","THC_O3_vs_VEH",-0.483733311541265
"ENSRNOG00000000417","THC_O3_vs_VEH",0.953084024918099
"ENSRNOG00000000420","THC_O3_vs_VEH",-0.587920051640829
"ENSRNOG00000000422","THC_O3_vs_VEH",-0.462275125936638
"ENSRNOG00000000437","THC_O3_vs_VEH",-0.433556516850362
"ENSRNOG00000000441","THC_O3_vs_VEH",-0.765169120572972
"ENSRNOG00000000451","THC_O3_vs_VEH",-2.50957368871914
"ENSRNOG00000000461","THC_vs_VEH_O3",0.650129656194035
"ENSRNOG00000000473","THC_O3_vs_VEH",-0.778500931258238
"ENSRNOG00000000517","THC_O3_vs_VEH",0.900398195816388
"ENSRNOG00000000579","THC_O3_vs_VEH",-0.367300515795176
"ENSRNOG00000000587","THC_O3_vs_VEH",-0.572120525206904
"ENSRNOG00000000593","VEH_O3_vs_VEH",0.817364155957322
"ENSRNOG00000000632","THC_O3_vs_VEH",-0.810524192164131
"ENSRNOG00000000635","THC_O3_vs_VEH",1.09136773560738
